"order_year","order_month","order_count","total_sales"
"2022","7","310","7593.539999999999"
"2022","8","2496","62217.770000000004"
"2022","9","5231","131805.01"
"2022","10","7967","200453.12999999995"
"2022","11","10626","264223.21"
"2022","12","13645","339617.1"
"2023","1","16845","418885.52000000014"
"2023","2","18166","455132.97000000026"
"2023","3","23444","585209.4899999999"
"2023","4","25884","647894.5099999999"
"2023","5","30299","758171.33"
"2023","6","32991","823567.6199999999"
"2023","7","38063","951499.3200000001"
"2023","8","41649","1035717.8099999999"
"2023","9","44833","1122685.91"
"2023","10","50218","1253024.6700000004"
"2023","11","53252","1331367.94"
"2023","12","59678","1487663.2400000005"
"2024","1","64360","1610839.3200000005"
"2024","2","65233","1629967.0599999998"
"2024","3","75848","1898882.8000000005"
"2024","4","79064","1982185.7400000005"
"2024","5","88070","2202724.6599999997"
"2024","6","91816","2291920.8100000005"
"2024","7","103346","2578584.4999999986"
"2024","8","110444","2755362.2300000004"
"2024","9","115845","2893705.6700000004"
"2024","10","129398","3238224.26"
"2024","11","135490","3391378.5799999987"
"2024","12","152649","3815747.310000001"
"2025","1","166681","4167505.090000001"
"2025","2","166210","4146012.1000000015"
"2025","3","203848","5095613.629999999"
"2025","4","223349","5593032.439999997"
"2025","5","267462","6684486.23"
"2025","6","321837","8058433.060000006"
"2025","7","255057","6388234.749999998"
